Item;Qtd_relatorio;Qtd_orcamento;Diferenca;Status
1.1;;1,00;;Não citado no relatório
1.2;;435,00;;Não citado no relatório
2.18;3,12;3,12;0,00;Compatível
13.7;15,36;15,36;0,00;Compatível
17.1;6,14;6,14;0,00;Compatível
17.2;4,38;4,38;0,00;Compatível
17.6;1,19;1,19;0,00;Compatível
17.8;9,04;9,04;0,00;Compatível
17.11;53,80;53,80;0,00;Compatível
19.1;3,00;3,00;0,00;Compatível
19.3;18,00;18,00;0,00;Compatível
19.6;1,00;1,00;0,00;Compatível
19.8;2,00;2,00;0,00;Compatível
19.34;12,00;12,00;0,00;Compatível
19.35;4,00;4,00;0,00;Compatível
19.37;5,00;5,00;0,00;Compatível
19.43;4,00;4,00;0,00;Compatível
19.50;1,00;1,00;0,00;Compatível
19.51;1,00;1,00;0,00;Compatível
19.53;2,00;2,00;0,00;Compatível
19.81;12,00;12,00;0,00;Compatível
19.89;1,00;1,00;0,00;Compatível
21.9;1,00;1,00;0,00;Compatível
29.2;4,01;4,01;0,00;Compatível
29.9;4,00;4,00;0,00;Compatível
29.24;0,40;0,40;0,00;Compatível
